iauname,dr8_id,MANGAID,PLATEIFU,Omega_sini,Omega_sini_ll,Omega_sini_ul,Omega,Omega_ll,Omega_ul,Omega_phys_sini,Omega_phys_sini_ll,Omega_phys_sini_ul,Omega_phys,Omega_phys_ll,Omega_phys_ul,Rcr,Rcr_ll,Rcr_ul,Rcr_phys,Rcr_phys_ll,Rcr_phys_ul,R,R_ll,R_ul
J090434.16+412352.1,549975_229,1-217018,8440-12704,17.5131762260305,15.338773651575046,19.325405163356383,20.70616917933628,18.135330686673896,22.84880273042136,32.26276375672454,28.257080511934262,35.60125092338381,38.14489364566358,33.408896367101406,42.092052012810214,8.949123405360265,7.841130476542255,10.589903823273444,4.857847159293713,4.25639603855577,5.74851098536299,1.5771237964334506,1.3352437351799624,1.8935743295656489
J104150.58+041950.8,355480_3224,1-79764,12495-6102,11.435272056605337,6.707297306076452,14.059614158480803,12.697979485388007,7.447931555398453,15.612107108001585,21.22634000784787,12.45019553953359,26.09768696623895,23.570198298328545,13.82497301048017,28.979449904907263,16.50528952229772,12.142411590326422,30.080068127226728,8.891899215348921,6.541484773508939,16.205043469052388,2.8746234918672826,1.4895524512085967,4.85096540643112
J112618.73+210546.4,449453_4371,1-489642,8450-12705,14.413589721782085,13.150799370642224,15.4760956774907,20.45066493257872,18.65895982304396,21.95819731753547,17.069317471131463,15.573855908873067,18.32759190678787,24.2187337761104,22.09690403628651,26.004031496771287,15.154684559223178,14.260220970328554,16.830756428827264,12.796844746082847,12.041546169370324,14.212145171161426,1.2311470727644425,1.0445662506092346,1.60051075193486
J112749.15+212310.0,452143_53,1-489649,8450-6103,14.09916858077088,10.68780363093136,16.002518148238615,15.54881394454618,11.786699987391076,17.64786170941588,17.55675905465559,13.308812650673016,19.926873970395317,19.361906232001413,14.677195363871792,21.975711127014293,,,,,,,,,
J122346.57+360910.0,526529_487,1-401864,8981-6101,17.98344720469293,12.911696559590396,22.340961605165543,23.430471683115584,16.822533365100142,29.10783801933162,27.06106439496354,19.42921443649163,33.6181486097407,35.257617508154894,25.31414881128019,43.800783580232995,10.335479027795715,7.449960953779576,16.46518527898484,6.868449027680077,4.950876193704105,10.941949136162574,1.3574629124015751,0.9130595292954063,2.2850006447841404
J122939.15+325445.5,511095_433,1-394046,12483-12704,7.501295879195848,4.780626953069692,8.969485711431,9.017167877454812,5.7467025017463955,10.782051493091611,16.55126470286933,10.548233721239445,19.79075811023914,19.89596661876566,12.679835032082812,23.790101227317212,10.6828337121827,8.21567610713233,18.79021858385946,4.841629805451564,3.723474818003223,8.516025316655044,0.6787182645872543,0.4699522376715214,1.5567356928169145
J131507.90+302411.9,498864_564,1-625070,8322-1901,23.616627483615307,20.1566781516421,27.56202729860484,33.226632687286525,28.358771446308975,38.77748242432431,50.52524551485658,43.12305442774253,58.96600592592353,71.0848225607917,60.67055471059676,82.96027116049065,4.770538745045129,3.2823524632164,6.334483930572628,2.2298562884717983,1.5342448038360388,2.9608791756448274,1.534701782637244,1.0847353206931611,1.945418205219725
J090447.23+220142.5,454690_2474,1-567244,8245-12702,13.324151770225107,11.865827341796113,14.05853856859626,15.361779834335142,13.680437623371992,16.20847450611381,19.499404725404744,17.36520070692252,20.574152720878185,22.48139825017929,20.020815931780536,23.72050467650732,18.975285531010364,17.46248197143821,22.12959998424121,12.966015519906632,11.932300670139195,15.121392317184224,1.0877689958233605,0.8764268604227672,1.829122249344922
J132053.30+321129.9,507492_1338,1-625513,8442-9102,7.340712110269648,5.578186822037305,9.893344024246446,13.10453989523077,9.958103608255144,17.66146383558667,15.788196611642814,11.997406921814962,21.278325352509537,28.184874881766824,21.417608439689477,37.98577839547215,7.91965086872848,6.016581459773703,10.074893885249862,3.6822367032287326,2.797405775376206,4.684315591724812,1.0645689693581883,0.7810737008522344,1.3974274401421267
J130710.50+341756.9,517134_2774,1-624367,8323-12705,13.070866581789502,10.765885288831422,14.832565320098402,14.466084651039168,11.915063699647265,16.415831664256434,19.379745343328036,15.962225150680878,21.991758304094912,21.448389431405516,17.666074303780594,24.339215404084975,23.45768562692015,18.507023991538556,32.18483465849164,15.821274929837688,12.482250779557276,21.70738945870255,1.4185860059181392,0.8992278573311511,2.5957108948350163
J153619.72+092039.1,384390_3459,1-336095,11963-9102,13.194011729330525,5.826687102278781,14.7552170554532,17.783718968380203,7.853575399911307,19.888009713399335,19.79840099591263,8.743291282073228,22.141082639496386,26.685530266121287,11.78475798027569,29.843143950006535,11.148764275176564,9.772575870548438,27.72387296654508,7.429737716929199,6.5126209277409846,18.475689283118477,1.8671703409178573,1.469616442094206,5.597547950162457
J085036.94+572134.7,609104_3127,1-48116,10001-6102,14.804896125520216,12.142037108113255,16.83555561128981,17.17285702023208,14.084088495058888,19.528309210523883,28.19394397200246,23.122885228625073,32.061063287302055,32.70340869417073,26.821262274304672,37.18905226227001,13.655517363322204,11.345934727331088,17.88702694718642,7.170636229715965,5.957853404684158,9.392640356044074,2.12441185788128,1.6602924629283191,2.983420999291825
J132247.11+323723.8,508713_3436,1-421842,12622-9102,21.228294176879334,3.2242142797698397,32.87312436420566,22.67083287916418,3.44331120033603,35.10697102966395,25.26078278609647,3.836680229624998,39.11764398709722,26.977343547659828,4.097396407449267,41.77582815033756,10.102779853254152,5.208052916001116,83.65409471567806,8.490029170717953,4.376668780449554,70.30002778466387,1.7402185488240896,0.8874029317832988,24.29545089697256
