PLATEIFU,RA,DEC,inc,inc_err,PA,PA_err,PA_bar,PA_bar_err,R_bar,R_bar_err,R_bar_deproj_kpc,R_bar_deproj_kpc_err,redshift,nsa_elpetro_absmag_r,nsa_sersic_absmag_r,bar_type
8440-12704,136.142338091,41.3978271827,57.7572235264144,0.1653701854035993,148.5,0.5833333333333334,98.90635777778152,0.12693591896258427,3.661684898100338,0.1212366615125695,2.6482990287903765,0.0876839329086168,0.0270151,-21.003109799928716,-21.278609799928716,Weak bar
12495-6102,160.460792046,4.33080246255,64.23156344063574,0.2051453965102325,48.19999999999999,0.7333333333333343,85.44402535837492,2.1099565932045983,4.05347830188177,0.1338607176318118,3.054837095812122,0.1008819229903991,0.026804302,-21.243141799928715,-21.45843179992871,Weak bar
8450-12705,171.578059883,21.0962357672,44.8132349009766,2.2834268003355795,127.6,0.4499999999999993,93.08022276768928,1.886795952953076,9.933889541443468,0.3304323022983571,9.862539591765303,0.3280589793373287,0.0428267,-22.321209799928717,-22.69270979992871,Strong bar
8450-6103,171.954826807,21.3861029393,65.06248014416337,0.4132949203379397,173.2,0.6,34.92321721332473,1.924895272781107,4.725562165528754,0.2634841753961083,5.151419599188862,0.2872287989591509,0.0406226,-21.862709799928716,-22.01140979992871,Strong bar
8981-6101,185.944063745,36.152814775,50.13205571327766,1.421124041358901,29.59999999999999,0.7166666666666638,45.83759259962463,1.6820624355700697,5.904215188281538,0.276115608065135,4.1517483613700366,0.1941600173395394,0.0333242,-21.657109799928715,-21.807509799928717,Strong bar
12483-12704,187.413169968,32.9126339066,56.29342590044126,4.05723246264494,17.299999999999983,0.9000000000000009,87.3434441803866,1.0145352802427636,10.220214782877337,0.9562080642627224,7.019268243093538,0.6567260123059422,0.022431087,-20.66887279992871,-21.02131879992871,Weak bar
8322-1901,198.784245451,30.4037749681,45.29792714897342,0.6916167838746681,98.7,1.5499999999999996,22.6147762886622,0.4274767232183959,2.3013551186180043,0.2797148102625242,1.2892870711049895,0.1567044936048907,0.0231544,-20.556809799928715,-20.673909799928715,Strong bar
8245-12702,136.196794615,22.0284799156,60.15297714542642,0.262566609153378,14.799999999999985,0.4166666666666667,164.78601370693616,1.5598058685077087,10.560104489433394,0.2455837748271587,8.49233391498766,0.1974960969394039,0.0343052,-22.027109799928716,-22.343909799928717,Weak bar
8442-9102,200.222837131,32.1907607473,34.06724904921886,7.306091382033591,15.699999999999989,1.5666666666666675,90.08324046650272,0.2947176176246063,6.195398504953511,0.2936096606673901,4.22651166304015,0.2003010224765674,0.0230284,-20.359309799928717,-20.46850979992871,Strong bar
8323-12705,196.793914503,34.2980074671,64.62902590243485,0.2772459027254967,130.3,0.4833333333333331,118.90196917674244,0.6885023386515091,11.059048510487964,0.2697973795809343,8.00807408436734,0.1953655779159763,0.0338421,-21.741009799928715,-21.883509799928717,Weak bar
11963-9102,234.082183838,9.34421253204,47.89481928980533,1.8163499833103,68.69999999999999,0.8166666666666654,117.09294687479974,2.46331197755151,4.59303188959374,0.4557711111282856,4.082203648294455,0.4050811179540217,0.033421747,-20.795353799928716,-20.821426799928716,Strong bar
