PLATEIFU,RA,DEC,inc,inc_err,PA,PA_err,PA_bar,PA_bar_err,R_bar,R_bar_err,R_bar_deproj_kpc,R_bar_deproj_kpc_err,redshift,nsa_elpetro_absmag_r,nsa_sersic_absmag_r,bar_type
8440-12704,136.142338091,41.3978271827,57.7572235264144,0.1653701854035993,148.5,0.5833333333333334,98.90635777778152,7.272892425170714,3.6616848981003374,0.1212366615125695,2.6482990287903765,0.08768393290861683,0.0270151,-21.003109799928716,-21.278609799928716,Weak bar
12495-6102,160.460792046,4.33080246255,64.23156344063574,0.2051453965102325,48.19999999999999,0.7333333333333343,85.44402535837492,120.891607746425,4.05347830188177,0.13386071763181184,3.054837095812122,0.10088192299039912,0.026804302,-21.243141799928715,-21.458431799928714,Weak bar
8450-12705,171.578059883,21.0962357672,44.8132349009766,2.2834268003355795,127.6,0.44999999999999934,93.08022276768929,108.10544490657549,9.933889541443467,0.3304323022983571,9.862539591765303,0.32805897933732875,0.0428267,-22.321209799928717,-22.692709799928714,Strong bar
8450-6103,171.954826807,21.3861029393,65.06248014416337,0.4132949203379397,173.2,0.6,34.92321721332473,110.28837513504077,4.725562165528754,0.26348417539610836,5.151419599188862,0.28722879895915093,0.0406226,-21.862709799928716,-22.011409799928714,Strong bar
8981-6101,185.944063745,36.152814775,50.13205571327766,1.421124041358901,29.599999999999994,0.7166666666666638,45.83759259962463,96.37507843566097,5.904215188281538,0.276115608065135,4.1517483613700366,0.19416001733953941,0.0333242,-21.657109799928715,-21.807509799928717,Strong bar
12483-12704,187.413169968,32.9126339066,56.29342590044126,4.05723246264494,17.299999999999983,0.9000000000000009,87.3434441803866,58.12858972503257,10.220214782877335,0.9562080642627224,7.019268243093538,0.6567260123059422,0.022431087,-20.668872799928714,-21.021318799928714,Weak bar
8322-1901,198.784245451,30.4037749681,45.29792714897342,0.6916167838746681,98.69999999999999,1.5499999999999996,22.6147762886622,24.492612080496134,2.3013551186180043,0.2797148102625242,1.2892870711049895,0.15670449360489078,0.0231544,-20.556809799928715,-20.673909799928715,Strong bar
8245-12702,136.196794615,22.0284799156,60.15297714542642,0.262566609153378,14.799999999999983,0.4166666666666667,164.78601370693616,89.37029312522955,10.560104489433394,0.24558377482715876,8.49233391498766,0.19749609693940398,0.0343052,-22.027109799928716,-22.343909799928717,Weak bar
8442-9102,200.222837131,32.1907607473,34.06724904921886,7.306091382033591,15.699999999999989,1.5666666666666675,90.08324046650273,16.88607563804035,6.195398504953511,0.29360966066739014,4.22651166304015,0.20030102247656745,0.0230284,-20.359309799928717,-20.468509799928714,Strong bar
8323-12705,196.793914503,34.2980074671,64.62902590243485,0.2772459027254967,130.3,0.4833333333333331,118.90196917674245,39.44827818961841,11.059048510487964,0.2697973795809343,8.00807408436734,0.19536557791597634,0.0338421,-21.741009799928715,-21.883509799928717,Weak bar
11963-9102,234.082183838,9.34421253204,47.89481928980533,1.8163499833103,68.69999999999999,0.8166666666666654,117.09294687479974,141.1373799377261,4.59303188959374,0.4557711111282856,4.082203648294455,0.4050811179540217,0.033421747,-20.795353799928716,-20.821426799928716,Strong bar
10001-6102,132.653991697,57.3596675436,59.55435420053169,0.7086541793930685,56.30000000000001,0.7666666666666657,84.82371074807895,7.800856278497485,4.93566439328119,0.11498944534833065,3.1180023561077825,0.07264216789368641,0.0261046,-21.124409799928717,-21.298209799928717,Weak bar
12622-9102,200.696327374,32.6232691309,69.4506631897074,1.042928390828166,97.19999999999999,0.48333333333333184,28.83609748211495,59.631973236684686,2.429673609029205,0.5532188857111535,2.859476897070809,0.6510819464950138,0.042610347,-21.991268799928715,-22.212898799928716,Weak bar
8985-6104,206.198417052,31.6156728964,45.945586726858174,1.1783119568498217,69.0,0.7833333333333338,45.39748527279511,50.417879813808746,5.072588315635971,0.7710878829013117,3.419316662108313,0.5197728421656307,0.0279465,-20.776909799928717,-20.772509799928716,Strong bar
8444-12703,201.411105292,33.6804328237,35.43386460217298,0.7606128504700891,6.7999999999999545,0.6500000000000009,52.06501715069456,79.62846618912018,4.337171319343337,0.18424165342484544,3.7075633076162826,0.15749610602791095,0.0389689,-22.167309799928717,-22.367509799928715,Weak bar
8985-12703,204.554359244,32.8228438761,44.90384492436858,1.7396943077964444,109.0,0.7333333333333343,126.00440553133046,70.74051753711211,5.85230997392109,0.246559442774831,2.967760265431636,0.1250325633117216,0.0245119,-21.353109799928717,-21.664209799928717,Weak bar
